"Brand","Retailer ID","Invoice Date","Region","State","City","Units Sold","Operating Profit","Operating Margin","Sales Method","Product Name","Product ID"
"NIKE","1185732","2020-01-01 00:00:00","Northeast","New York","New York","1200","300000","0","In-store","Nike Air Force 1 '07 Essential","CJ1646-600"
"NIKE","1185732","2020-01-02 00:00:00","Northeast","New York","New York","1000","150000","0","In-store","Nike Air Force 1 '07","CT4328-101"
"NIKE","1185732","2020-01-03 00:00:00","Northeast","New York","New York","1000","140000","0","In-store","Nike Air Force 1 Sage Low LX","CI3482-200"
"NIKE","1185732","2020-01-04 00:00:00","Northeast","New York","New York","850","133875","0","In-store","Nike Air Max Dia SE","CD0479-200"
"NIKE","1185732","2020-01-05 00:00:00","Northeast","New York","New York","900","162000","0","In-store","Nike Air Max Verona","CZ6156-101"
"NIKE","1185732","2020-01-06 00:00:00","Northeast","New York","New York","1000","125000","0","In-store","Nike Free Metcon 3","CJ6314-146"
"NIKE","1185732","2020-01-07 00:00:00","Northeast","New York","New York","1250","312500","0","In-store","NikeCourt Blanc","CI0808-100"
"NIKE","1185732","2020-01-08 00:00:00","Northeast","New York","New York","900","135000","0","Outlet","Nike Free Metcon 3","CJ0861-017"
"NIKE","1185732","2020-01-21 00:00:00","Northeast","New York","New York","950","133000","0","Outlet","Nike Zoom Pegasus Turbo 2","AT8242-009"
"NIKE","1185732","2020-01-22 00:00:00","Northeast","New York","New York","825","129937","0","Outlet","Nike Air Max 270 React ENG","CK2595-500"
"NIKE","1185732","2020-01-23 00:00:00","Northeast","New York","New York","900","162000","0","Outlet","Nike Air Max 90","CD0490-104"
"NIKE","1185732","2020-01-24 00:00:00","Northeast","New York","New York","1000","125000","0","Outlet","Nike Air Force 1 '07","315115-112"
"NIKE","1185732","2020-01-25 00:00:00","Northeast","New York","New York","1220","305000","0","Outlet","Jordan Air Max 200 XX","AV5186-101"
"NIKE","1185732","2020-01-26 00:00:00","Northeast","New York","New York","925","138750","0","Outlet","Nike SuperRep Go","CJ0860-668"
"NIKE","1185732","2020-01-27 00:00:00","Northeast","New York","New York","950","133000","0","Outlet","Nike Air VaporMax Flyknit 3","AJ6910-009"
"NIKE","1185732","2020-01-28 00:00:00","Northeast","New York","New York","800","126000","0","Outlet","Nike Air Zoom SuperRep","BQ7043-668"
"NIKE","1185732","2020-01-29 00:00:00","Northeast","New York","New York","850","153000","0","Outlet","Nike Air Max 270 React ENG","CK2608-100"
"NIKE","1185732","2020-01-30 00:00:00","Northeast","New York","New York","950","118750","0","Outlet","Nike Air Max 97","921733-104"
"NIKE","1185732","2020-01-31 00:00:00","Northeast","New York","New York","1200","300000","0","Outlet","Nike Air Force 1 '07","CJ1379-001"
"NIKE","1185732","2020-02-01 00:00:00","Northeast","New York","New York","900","135000","0","Outlet","Nike Court Vintage Premium","CT1726-100"
"NIKE","1185732","2020-02-02 00:00:00","Northeast","New York","New York","900","126000","0","Outlet","Nike Air Max 97","CT4525-001"
"NIKE","1185732","2020-02-03 00:00:00","Northeast","New York","New York","825","129937","0","Outlet","Nike SB Bruin High","923112-001"
"NIKE","1185732","2020-02-04 00:00:00","Northeast","New York","New York","825","148500","0","Outlet","Air Jordan XXXIV PF","BQ3381-600"
"NIKE","1185732","2020-02-05 00:00:00","Northeast","New York","New York","950","118750","0","Outlet","Nike Metcon 5","AO2982-076"
"NIKE","1185732","2020-02-06 00:00:00","Northeast","New York","New York","1220","366000","0","Outlet","Nike React Phantom Run Flyknit 2","CJ0277-002"
"NIKE","1185732","2020-02-07 00:00:00","Northeast","New York","New York","925","152625","0","Outlet","Nike Joyride Run Flyknit","AQ2730-009"
"NIKE","1185732","2020-02-08 00:00:00","Northeast","New York","New York","900","157500","0","Outlet","Nike Air Max 90","CT1030-100"
"NIKE","1185732","2020-02-09 00:00:00","Northeast","New York","New York","850","148750","0","Outlet","Nike Air VaporMax 360","CK9671-001"
"NIKE","1185732","2020-02-10 00:00:00","Northeast","New York","New York","875","157500","0","Outlet","Nike Offcourt","BQ4632-602"
"NIKE","1185732","2020-03-03 00:00:00","Northeast","New York","New York","1000","162500","0","Outlet","Nike React Phantom Run Flyknit 2","CJ0280-001"
"NIKE","1185732","2020-03-04 00:00:00","Northeast","New York","New York","1250","375000","0","Outlet","Jordan Break","AR6374-402"
"NIKE","1185732","2020-03-05 00:00:00","Northeast","New York","New York","1000","165000","0","Outlet","LeBron 7 QS","CU5646-001"
"NIKE","1185732","2020-03-06 00:00:00","Northeast","New York","New York","925","161875","0","Outlet","Nike In-Season TR 9","AR4543-013"
"NIKE","1185732","2020-03-07 00:00:00","Northeast","New York","New York","900","157500","0","Outlet","Nike Joyride Run FlyKnit","CI3707-100"
"NIKE","1185732","2020-03-08 00:00:00","Northeast","New York","New York","900","162000","0","Outlet","Nike ZoomX Vista Grind","CQ9500-100"
"NIKE","1185732","2020-03-09 00:00:00","Northeast","New York","New York","1050","170625","0","Outlet","Nike Air Force 1 Sage Low","CJ1642-002"
"NIKE","1185732","2020-03-10 00:00:00","Northeast","New York","New York","1275","382500","0","Outlet","Nike Air Force 1 '07 LV8","CD0888-002"
"NIKE","1185732","2020-03-11 00:00:00","Northeast","New York","New York","1025","169125","0","Outlet","Nike Air Max 720","CI3868-001"
"NIKE","1185732","2020-03-12 00:00:00","Northeast","New York","New York","950","166250","0","Outlet","Nike Air Max Dia","CJ0636-100"
"NIKE","1185732","2020-03-13 00:00:00","Northeast","New York","New York","900","157500","0","Outlet","Air Jordan 1 Mid SE","852542-087"
